customer_id,total_product_A,total_product_B,total_purchases
C000001,8,1,3
C000002,0,2,1
C000003,8,16,4
C000004,19,5,6
C000005,18,12,5
C000006,15,2,3
C000007,1,0,1
C000008,7,0,1
C000009,4,0,1
C000010,9,3,5
C000011,11,5,4
C000012,12,8,6
C000013,7,0,1
C000014,10,14,5
C000015,9,3,3
C000016,5,12,3
C000017,29,4,6
C000018,8,11,3
C000019,7,0,1
C000020,10,0,2
C000021,8,4,3
C000022,13,7,4
C000023,16,6,6
C000024,9,2,3
C000025,9,1,4
C000026,0,11,4
C000027,8,7,3
C000028,8,23,6
C000029,6,6,4
C000030,3,2,2
C000031,6,7,5
C000032,15,8,6
C000033,9,15,4
C000034,20,0,5
C000035,3,4,4
C000036,0,5,1
C000037,11,0,3
C000038,0,5,1
C000039,0,3,1
C000040,17,3,6
C000041,0,7,1
C000042,10,14,6
C000043,2,12,4
C000044,4,0,1
C000045,15,18,5
C000046,12,7,3
C000047,6,3,4
C000048,6,13,3
C000049,0,13,4
C000050,13,6,3
C000051,5,1,2
C000052,0,6,3
C000053,8,10,3
C000054,0,3,1
C000055,5,15,6
C000056,0,10,3
C000057,2,15,5
C000058,15,12,4
C000059,8,3,2
C000060,3,14,5
C000061,8,9,5
C000062,4,0,1
C000063,12,5,3
C000064,4,19,5
C000065,16,3,4
C000066,1,18,5
C000067,4,0,1
C000068,14,0,2
C000069,3,0,1
C000070,12,5,3
C000071,3,9,3
C000072,0,8,2
C000073,1,0,1
C000074,11,0,3
C000075,4,6,4
C000076,7,4,2
C000077,28,7,6
C000078,0,7,2
C000079,4,7,3
C000080,13,9,6
C000081,3,7,3
C000082,11,8,3
C000083,16,0,3
C000084,5,11,3
C000085,12,22,6
C000086,20,3,5
C000087,18,8,5
C000088,14,5,3
C000089,7,13,3
C000090,17,0,3
C000091,5,6,3
C000092,2,4,4
C000093,9,0,2
C000094,5,8,2
C000095,13,23,6
C000096,7,16,4
C000097,10,0,2
C000098,3,16,4
C000099,0,10,2
C000100,5,8,2
C000101,19,0,4
C000102,8,23,6
C000103,15,2,3
C000104,11,14,6
C000105,6,19,5
C000106,9,2,5
C000107,3,0,2
C000108,0,9,3
C000109,14,15,6
C000110,3,2,2
C000111,9,11,4
C000112,7,8,3
C000113,0,17,4
C000114,11,23,6
C000115,2,15,4
C000116,6,0,1
C000117,10,8,3
C000118,6,24,5
C000119,6,12,4
C000120,0,5,3
C000121,0,8,1
C000122,0,8,1
C000123,15,18,6
C000124,4,13,3
C000125,9,1,3
C000126,1,3,2
C000127,2,10,4
C000128,30,0,6
C000129,26,12,6
C000130,7,9,4
C000131,11,12,6
C000132,0,4,1
C000133,25,5,5
C000134,9,6,3
C000135,10,11,5
C000136,12,11,5
C000137,8,4,2
C000138,7,13,5
C000139,0,5,1
C000140,19,7,6
C000141,12,11,4
C000142,8,19,6
C000143,8,0,1
C000144,0,15,3
C000145,5,19,6
C000146,2,2,2
C000147,5,8,4
C000148,5,26,6
C000149,8,7,2
C000150,20,0,4
C000151,7,5,4
C000152,0,7,1
C000153,0,8,2
C000154,7,8,4
C000155,25,5,6
C000156,0,5,1
C000157,0,8,2
C000158,13,4,6
C000159,2,7,2
C000160,12,13,6
C000161,3,4,2
C000162,9,13,4
C000163,6,0,1
C000164,9,9,5
C000165,3,16,6
C000166,7,0,1
C000167,8,4,3
C000168,0,16,3
C000169,12,5,4
C000170,7,22,5
C000171,14,6,4
C000172,24,4,6
C000173,5,6,3
C000174,2,0,1
C000175,8,16,3
C000176,0,12,3
C000177,6,19,5
C000178,31,1,6
C000179,16,17,6
C000180,6,0,3
C000181,7,0,2
C000182,0,1,1
C000183,5,18,5
C000184,0,6,2
C000185,1,5,2
C000186,12,7,4
C000187,7,0,1
C000188,0,1,1
C000189,8,0,1
C000190,6,0,1
C000191,7,27,6
C000192,0,20,4
C000193,0,6,2
C000194,0,9,2
C000195,11,16,6
C000196,6,0,3
C000197,9,11,5
C000198,0,8,1
C000199,13,15,5
C000200,4,1,2
C000201,0,7,1
C000202,11,1,4
C000203,21,0,4
C000204,8,5,3
C000205,6,9,3
C000206,8,6,2
C000207,0,8,1
C000208,7,0,1
C000209,12,7,5
C000210,5,6,2
C000211,10,10,5
C000212,14,11,6
C000213,6,16,4
C000214,10,13,4
C000215,3,7,3
C000216,0,16,2
C000217,8,3,2
C000218,0,10,2
C000219,0,5,2
C000220,17,4,5
C000221,9,12,5
C000222,24,5,6
C000223,14,9,4
C000224,17,14,6
C000225,6,6,3
C000226,4,8,5
C000227,8,0,1
C000228,18,0,3
C000229,8,2,3
C000230,16,16,6
C000231,3,5,2
C000232,14,7,6
C000233,10,0,2
C000234,9,0,2
C000235,0,3,1
C000236,15,0,3
C000237,33,0,6
C000238,12,9,6
C000239,18,17,6
C000240,1,1,2
C000241,3,6,3
C000242,6,20,4
C000243,12,8,6
C000244,6,7,4
C000245,10,0,2
C000246,8,26,6
C000247,19,0,3
C000248,12,1,3
C000249,6,7,3
C000250,17,12,6
C000251,4,8,3
C000252,18,20,6
C000253,2,0,1
C000254,3,0,1
C000255,4,2,2
C000256,0,17,4
C000257,8,10,3
C000258,2,8,3
C000259,8,3,3
C000260,19,0,3
C000261,9,11,4
C000262,16,12,6
C000263,5,2,2
C000264,6,17,5
C000265,8,4,2
C000266,3,18,4
C000267,6,8,4
C000268,5,0,1
C000269,10,5,6
C000270,6,7,4
C000271,10,2,3
C000272,20,8,6
C000273,6,18,4
C000274,6,9,3
C000275,15,3,6
C000276,0,4,1
C000277,8,6,4
C000278,15,9,6
C000279,0,12,5
C000280,0,5,1
C000281,7,2,3
C000282,9,3,3
C000283,0,7,1
C000284,3,0,2
C000285,4,8,4
C000286,3,12,5
C000287,16,17,5
C000288,2,0,1
C000289,0,2,1
C000290,0,16,2
C000291,1,9,3
C000292,5,5,2
C000293,0,8,1
C000294,8,12,4
C000295,6,0,2
C000296,15,0,2
C000297,6,6,3
C000298,13,2,3
C000299,1,2,2
C000300,8,20,5
C000301,7,10,3
C000302,0,2,1
